sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
"STONEWARE CUPS",,Default,simple,POTTERY/STONEWARE,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,"/d/s/dsc_5290_copy_1.jpg,/d/s/dsc_5300_copy_1.jpg",",",,,,,,,
"TURTLE METAL SHOWPIECE",,Default,simple,DECOR/DHOKRA,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/i/m/imuanwesh000018_1.jpg,,,,,,,,
"FISH SHOWPIECE",,Default,simple,DECOR/BAMBOO,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,0,0,0,1,,,,/b/a/bamboo-handicrafts-491484.jpg,,,,,,,,
"LAMP SHOWPIECE",,Default,simple,DECOR/BAMBOO,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/b/a/bamboo-home-glory.jpg,,,,,,,,
"LIGHT LAMP SHOWPIECE",,Default,simple,DECOR/JUTE,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,"/2/0/20110914111609tablelamp_jute_small.jpg,/j/u/jute-lamp-shades.jpg",",",,,,,,,
"EARTHERN KETTLE",,Default,simple,POTTERY/EARTHERNWARE,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/d/o/download.jpg,,,,,,,,
"EARTHERN VASE",,Default,simple,POTTERY/EARTHERNWARE,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,0,0,0,1,,,,/s/c/sch-200216-658x432.jpg,,,,,,,,
"PORCELAIN KETTLE",,Default,simple,POTTERY/PORCELAIN,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,0,0,0,1,,,,/a/r/art201205a19_01.jpg,,,,,,,,
"PORCELAIN VASE",,Default,simple,POTTERY/PORCELAIN,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,0,0,0,1,,,,/1/0/1045.jpg,,,,,,,,
"PEN STAND",,Default,simple,"DECOR/WOOD ",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/w/o/wooden-cup.jpg,,,,,,,,
